NEE.mod1,,,,,,,,,
Fixed effects,,,,,,,,,
Degrees of freedom method: Satterthwaite ,,,,,,,,,
,Eliminated,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),,
soil_moisture,1,0.00000126,0.00000126,1,68.5,0.1335,0.716,,
T_air,2,0.00000603,0.00000603,1,66.643,0.6519,0.4223,,
treatment,0,0.00004284,0.00004284,1,64.997,4.6477,0.0348,*,
site,0,0.00068155,0.00034077,2,9.329,36.9684,3.68E-05,***,
GEI,0,0.00036758,0.00036758,1,66.289,39.8763,2.59E-08,***,
Backward reduced random-effect table:,,,,,,,,,
,Eliminated,npar,logLik,AIC,LRT,Df,Pr(>Chisq),,
<none>,,9,297.4,-576.79,,,,,
(1 | site:plot),0,8,294.6,-573.2,5.5891,1,0.01807,*,
,,,,,,,,,
(Intercept),-0.008343,0.001258,17.276325,-6.633,3.90E-06,***,,,
treatmentT,-0.001548,0.000718,64.997247,-2.156,0.0348,*,,,
siteMEAD,0.006026,0.001515,9.358372,3.978,0.00298,**,,,
siteWILL,-0.006983,0.001512,9.286156,-4.618,0.00116,**,,,
GEI,-0.116195,0.018401,66.288861,-6.315,2.59E-08,***,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GEP.mod4,,,,,,,,,
Backward reduced fixed-effect table:,,,,,,,,,
Degrees of freedom method: Satterthwaite ,,,,,,,,,
,Eliminated,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),,
T_air,1,0.0000010,0.0000010,1,67.497,0.0208,0.885821,,
treatment,2,0.0000028,0.0000028,1,64.523,0.0589,0.809033,,
soil_moisture,3,0.0000184,0.0000184,1,71.054,0.3874,0.535642,,
site,0,0.0012292,0.0006146,2,9.725,13.1029,1.74E-03,**,
GEI,0,0.0186637,0.0186637,1,67.566,397.9046,< 2.2e-16,***,
Backward reduced random-effect table:,,,,,,,,,
,Eliminated,npar,logLik,AIC,LRT,Df,Pr(>Chisq),,
<none>,,9,238.18,-458.36,,,,,
(1 | site:plot),0,8,235.02,-454.04,6.3214,1,0.01193,*,
,,,,,,,,,
(Intercept),-0.002151,0.002796,17.484044,-0.769,0.452,,,,
siteMEAD,-0.008711,0.003395,9.81802,-2.566,0.0285,*,,,
siteWILL,0.008623,0.003381,9.647215,2.551,0.0296,*,,,
GEI,0.788429,0.039525,67.565897,19.948,<2e-16,***,,,
,,,,,,,,,
,,,,,,,,,
NEE.mod2,,,,,,,,,
,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|),,
treatmentC - treatmentT,-0.00586,0.00326,69.2,-1.7979,-0.01236,0.00064,0.07655,.,
siteDRYAS - siteMEAD,0.00439,0.00438,14.0,1.0019,-0.00501,0.01379,0.33336,,
siteDRYAS - siteWILL,-0.01231,0.00412,11.1,-2.9855,-0.02137,-0.00325,0.01225,*,
siteMEAD - siteWILL,-0.01670,0.00412,11.1,-4.0506,-0.02576,-0.00764,0.00187,**,
,,,,,,,,,
GEP.mod2,,,,,,,,,
,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|),,
treatmentC - treatmentT,-0.00892,0.00388,68.1,-2.3022,-0.01666,-0.00119,0.02439,*,
siteDRYAS - siteMEAD,0.01044,0.00511,13.8,2.0424,-0.00053,0.02142,0.06063,.,
siteDRYAS - siteWILL,-0.02141,0.00480,10.9,-4.4585,-0.03199,-0.01083,0.00099,***,
siteMEAD - siteWILL,-0.03185,0.00474,10.4,-6.7135,-0.04236,-0.02134,0.00004,***,
---,,,,,,,,,
ER.mod2,,,,,,,,,
,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|),,
treatmentC - treatmentT,0.00293,0.00086,65.7,3.40060,0.00121,0.00465,0.00115,**,
siteDRYAS - siteMEAD,-0.00628,0.00154,9.5,-4.07750,-0.00973,-0.00282,0.00248,**,
siteDRYAS - siteWILL,0.00887,0.00149,8.3,5.95800,0.00546,0.01228,0.00029,***,
siteMEAD - siteWILL,0.01515,0.00148,8.1,10.23980,0.01174,0.01855,0.00001,***,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FLUX MEANS TABLE,,,,,,,,,
Flux,Treatment,Site,Flux Mean (),,,,,,
NEE,C,DRYAS,0.0113,,,,,,
NEE,C,MEAD,0.0074,,,,,,
NEE,C,WILL,0.0200,,,,,,
NEE,T,DRYAS,0.0146,,,,,,
NEE,T,MEAD,0.0097,,,,,,
NEE,T,WILL,0.0305,,,,,,
GEP,C,DRYAS,0.0226,,,,,,
GEP,C,MEAD,0.0126,,,,,,
GEP,C,WILL,0.0410,,,,,,
GEP,T,DRYAS,0.0294,,,,,,
GEP,T,MEAD,0.0185,,,,,,
GEP,T,WILL,0.0537,,,,,,
ER,C,DRYAS,-0.0117,,,,,,
ER,C,MEAD,-0.0052,,,,,,
ER,C,WILL,-0.0210,,,,,,
ER,T,DRYAS,-0.0148,,,,,,
ER,T,MEAD,-0.0088,,,,,,
ER,T,WILL,-0.0233,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
