"Plot Title: DRYAS OTC 7"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9694112, SEN S/N: 9694112, LBL: 10 cm)","RH, % (LGR S/N: 9694112, SEN S/N: 9694112, LBL: 10 cm)","Coupler Detached (LGR S/N: 9694112)","Coupler Attached (LGR S/N: 9694112)","Host Connected (LGR S/N: 9694112)","Stopped (LGR S/N: 9694112)","End Of File (LGR S/N: 9694112)"
93,07/06/22 12:00:00  PM,6.839,1.000,,,,,
94,07/06/22 01:00:00  PM,6.458,1.000,,,,,
95,07/06/22 02:00:00  PM,6.914,1.000,,,,,
96,07/06/22 03:00:00  PM,8.618,1.000,,,,,
97,07/06/22 04:00:00  PM,8.494,1.000,,,,,
98,07/06/22 05:00:00  PM,7.494,1.000,,,,,
99,07/06/22 06:00:00  PM,7.795,1.000,,,,,
100,07/06/22 07:00:00  PM,8.245,1.000,,,,,
101,07/06/22 08:00:00  PM,7.594,1.000,,,,,
102,07/06/22 09:00:00  PM,5.796,1.000,,,,,
103,07/06/22 10:00:00  PM,5.231,1.000,,,,,
104,07/06/22 11:00:00  PM,5.102,1.000,,,,,
105,07/07/22 12:00:00  AM,5.231,1.000,,,,,
106,07/07/22 01:00:00  AM,4.792,1.000,,,,,
107,07/07/22 02:00:00  AM,5.411,1.000,,,,,
108,07/07/22 03:00:00  AM,7.920,1.000,,,,,
109,07/07/22 04:00:00  AM,10.124,1.000,,,,,
110,07/07/22 05:00:00  AM,8.369,1.000,,,,,
111,07/07/22 06:00:00  AM,10.736,1.000,,,,,
112,07/07/22 07:00:00  AM,11.200,1.000,,,,,
113,07/07/22 08:00:00  AM,12.606,1.000,,,,,
114,07/07/22 09:00:00  AM,12.968,1.000,,,,,
115,07/07/22 10:00:00  AM,12.847,1.000,,,,,
116,07/07/22 11:00:00  AM,14.409,1.000,,,,,
117,07/07/22 12:00:00  PM,15.461,1.000,,,,,
118,07/07/22 01:00:00  PM,17.058,1.000,,,,,
119,07/07/22 02:00:00  PM,16.963,1.000,,,,,
120,07/07/22 03:00:00  PM,16.939,1.000,,,,,
121,07/07/22 04:00:00  PM,17.272,1.000,,,,,
122,07/07/22 05:00:00  PM,16.415,1.000,,,,,
123,07/07/22 06:00:00  PM,16.630,1.000,,,,,
124,07/07/22 07:00:00  PM,13.882,1.000,,,,,
125,07/07/22 08:00:00  PM,14.601,1.000,,,,,
126,07/07/22 09:00:00  PM,12.413,1.000,,,,,
127,07/07/22 10:00:00  PM,9.287,1.000,,,,,
128,07/07/22 11:00:00  PM,8.841,1.000,,,,,
129,07/08/22 12:00:00  AM,8.170,1.000,,,,,
130,07/08/22 01:00:00  AM,9.089,1.000,,,,,
131,07/08/22 02:00:00  AM,9.731,1.000,,,,,
132,07/08/22 03:00:00  AM,8.965,1.000,,,,,
133,07/08/22 04:00:00  AM,8.519,1.000,,,,,
134,07/08/22 05:00:00  AM,10.198,1.000,,,,,
135,07/08/22 06:00:00  AM,13.449,1.000,,,,,
136,07/08/22 07:00:00  AM,16.082,1.000,,,,,
137,07/08/22 08:00:00  AM,13.930,1.000,,,,,
138,07/08/22 09:00:00  AM,15.605,1.000,,,,,
139,07/08/22 10:00:00  AM,14.002,1.000,,,,,
140,07/08/22 11:00:00  AM,15.581,1.000,,,,,
141,07/08/22 12:00:00  PM,17.153,1.000,,,,,
142,07/08/22 01:00:00  PM,14.577,1.000,,,,,
143,07/08/22 02:00:00  PM,9.015,1.000,,,,,
144,07/08/22 03:00:00  PM,8.444,1.000,,,,,
145,07/08/22 04:00:00  PM,7.870,1.000,,,,,
146,07/08/22 05:00:00  PM,7.770,1.000,,,,,
147,07/08/22 06:00:00  PM,9.854,1.000,,,,,
148,07/08/22 07:00:00  PM,15.318,1.000,,,,,
149,07/08/22 08:00:00  PM,8.668,1.000,,,,,
150,07/08/22 09:00:00  PM,6.560,1.000,,,,,
151,07/08/22 10:00:00  PM,7.066,1.000,,,,,
152,07/08/22 11:00:00  PM,5.257,1.000,,,,,
153,07/09/22 12:00:00  AM,5.745,1.000,,,,,
154,07/09/22 01:00:00  AM,6.737,1.000,,,,,
155,07/09/22 02:00:00  AM,6.306,1.000,,,,,
156,07/09/22 03:00:00  AM,8.070,1.000,,,,,
157,07/09/22 04:00:00  AM,9.188,1.000,,,,,
158,07/09/22 05:00:00  AM,10.785,1.000,,,,,
159,07/09/22 06:00:00  AM,11.589,1.000,,,,,
160,07/09/22 07:00:00  AM,12.823,1.000,,,,,
161,07/09/22 08:00:00  AM,16.439,1.000,,,,,
162,07/09/22 09:00:00  AM,16.487,1.000,,,,,
163,07/09/22 10:00:00  AM,14.146,1.000,,,,,
164,07/09/22 11:00:00  AM,16.296,1.000,,,,,
165,07/09/22 12:00:00  PM,17.486,1.000,,,,,
166,07/09/22 01:00:00  PM,16.677,1.000,,,,,
167,07/09/22 02:00:00  PM,19.888,1.000,,,,,
168,07/09/22 03:00:00  PM,17.867,1.000,,,,,
169,07/09/22 04:00:00  PM,15.366,1.000,,,,,
170,07/09/22 05:00:00  PM,9.287,1.000,,,,,
171,07/09/22 06:00:00  PM,10.467,1.000,,,,,
172,07/09/22 07:00:00  PM,9.706,1.000,,,,,
173,07/09/22 08:00:00  PM,11.589,1.000,,,,,
174,07/09/22 09:00:00  PM,6.712,1.000,,,,,
175,07/09/22 10:00:00  PM,5.437,1.000,,,,,
176,07/09/22 11:00:00  PM,6.813,1.000,,,,,
177,07/10/22 12:00:00  AM,8.618,1.000,,,,,
178,07/10/22 01:00:00  AM,5.385,1.000,,,,,
179,07/10/22 02:00:00  AM,7.444,1.000,,,,,
180,07/10/22 03:00:00  AM,9.188,1.000,,,,,
181,07/10/22 04:00:00  AM,8.891,1.000,,,,,
182,07/10/22 05:00:00  AM,11.273,1.000,,,,,
183,07/10/22 06:00:00  AM,9.854,1.000,,,,,
184,07/10/22 07:00:00  AM,8.494,1.000,,,,,
185,07/10/22 08:00:00  AM,10.001,1.000,,,,,
186,07/10/22 09:00:00  AM,10.761,1.000,,,,,
187,07/10/22 10:00:00  AM,8.195,1.000,,,,,
188,07/10/22 11:00:00  AM,9.534,1.000,,,,,
189,07/10/22 12:00:00  PM,9.558,1.000,,,,,
190,07/10/22 01:00:00  PM,11.102,1.000,,,,,
191,07/10/22 02:00:00  PM,14.194,1.000,,,,,
192,07/10/22 03:00:00  PM,12.630,1.000,,,,,
193,07/10/22 04:00:00  PM,18.176,1.000,,,,,
194,07/10/22 05:00:00  PM,18.152,1.000,,,,,
195,07/10/22 06:00:00  PM,18.152,1.000,,,,,
196,07/10/22 07:00:00  PM,14.409,1.000,,,,,
197,07/10/22 08:00:00  PM,16.344,1.000,,,,,
198,07/10/22 09:00:00  PM,11.540,1.000,,,,,
199,07/10/22 10:00:00  PM,7.970,1.000,,,,,
200,07/10/22 11:00:00  PM,6.839,1.000,,,,,
201,07/11/22 12:00:00  AM,5.360,1.000,,,,,
202,07/11/22 01:00:00  AM,5.591,1.000,,,,,
203,07/11/22 02:00:00  AM,6.560,1.000,,,,,
204,07/11/22 03:00:00  AM,8.519,1.000,,,,,
205,07/11/22 04:00:00  AM,9.410,1.000,,,,,
206,07/11/22 05:00:00  AM,11.856,1.000,,,,,
207,07/11/22 06:00:00  AM,11.127,1.000,,,,,
208,07/11/22 07:00:00  AM,10.149,1.000,,,,,
209,07/11/22 08:00:00  AM,13.137,1.000,,,,,
210,07/11/22 09:00:00  AM,13.209,1.000,,,,,
211,07/11/22 10:00:00  AM,13.858,1.000,,,,,
212,07/11/22 11:00:00  AM,13.762,1.000,,,,,
213,07/11/22 12:00:00  PM,13.954,1.000,,,,,
214,07/11/22 01:00:00  PM,15.843,1.000,,,,,
215,07/11/22 02:00:00  PM,15.629,1.000,,,,,
216,07/11/22 03:00:00  PM,13.882,1.000,,,,,
217,07/11/22 04:00:00  PM,16.368,1.000,,,,,
218,07/11/22 05:00:00  PM,15.724,1.000,,,,,
219,07/11/22 06:00:00  PM,15.461,1.000,,,,,
220,07/11/22 07:00:00  PM,13.185,1.000,,,,,
221,07/11/22 08:00:00  PM,14.218,1.000,,,,,
222,07/11/22 09:00:00  PM,12.122,1.000,,,,,
223,07/11/22 10:00:00  PM,6.560,1.000,,,,,
224,07/11/22 11:00:00  PM,6.331,1.000,,,,,
225,07/12/22 12:00:00  AM,6.661,1.000,,,,,
226,07/12/22 01:00:00  AM,7.469,1.000,,,,,
227,07/12/22 02:00:00  AM,7.142,1.000,,,,,
228,07/12/22 03:00:00  AM,12.340,1.000,,,,,
229,07/12/22 04:00:00  AM,12.364,1.000,,,,,
230,07/12/22 05:00:00  AM,14.098,1.000,,,,,
231,07/12/22 06:00:00  AM,12.461,1.000,,,,,
232,07/12/22 07:00:00  AM,14.481,1.000,,,,,
233,07/12/22 08:00:00  AM,16.392,1.000,,,,,
234,07/12/22 09:00:00  AM,17.796,1.000,,,,,
235,07/12/22 10:00:00  AM,11.589,1.000,,,,,
236,07/12/22 11:00:00  AM,11.613,1.000,,,,,
237,07/12/22 12:00:00  PM,11.394,1.000,,,,,
238,07/12/22 01:00:00  PM,9.114,1.000,,,,,
239,07/12/22 02:00:00  PM,10.834,1.000,,,,,
240,07/12/22 03:00:00  PM,14.026,1.000,,,,,
241,07/12/22 04:00:00  PM,15.533,1.000,,,,,
242,07/12/22 05:00:00  PM,11.540,1.000,,,,,
243,07/12/22 06:00:00  PM,10.051,1.000,,,,,
244,07/12/22 07:00:00  PM,6.458,1.000,,,,,
245,07/12/22 08:00:00  PM,8.270,1.000,,,,,
246,07/12/22 09:00:00  PM,5.693,1.000,,,,,
247,07/12/22 10:00:00  PM,5.745,1.000,,,,,
248,07/12/22 11:00:00  PM,4.610,1.000,,,,,
249,07/13/22 12:00:00  AM,5.154,1.000,,,,,
250,07/13/22 01:00:00  AM,5.898,1.000,,,,,
251,07/13/22 02:00:00  AM,4.610,1.000,,,,,
252,07/13/22 03:00:00  AM,5.076,1.000,,,,,
253,07/13/22 04:00:00  AM,5.437,1.000,,,,,
254,07/13/22 05:00:00  AM,7.091,1.000,,,,,
255,07/13/22 06:00:00  AM,9.386,1.000,,,,,
256,07/13/22 07:00:00  AM,7.594,1.000,,,,,
257,07/13/22 08:00:00  AM,8.469,1.000,,,,,
258,07/13/22 09:00:00  AM,9.879,1.000,,,,,
259,07/13/22 10:00:00  AM,15.414,1.000,,,,,
260,07/13/22 11:00:00  AM,14.768,1.000,,,,,
261,07/13/22 12:00:00  PM,13.906,1.000,,,,,
262,07/13/22 01:00:00  PM,12.437,1.000,,,,,
263,07/13/22 02:00:00  PM,12.171,1.000,,,,,
264,07/13/22 03:00:00  PM,12.485,1.000,,,,,
265,07/13/22 04:00:00  PM,13.305,1.000,,,,,
266,07/13/22 05:00:00  PM,10.736,1.000,,,,,
267,07/13/22 06:00:00  PM,11.346,1.000,,,,,
268,07/13/22 07:00:00  PM,9.509,1.000,,,,,
269,07/13/22 08:00:00  PM,10.247,1.000,,,,,
270,07/13/22 09:00:00  PM,7.569,1.000,,,,,
271,07/13/22 10:00:00  PM,5.102,1.000,,,,,
272,07/13/22 11:00:00  PM,5.231,1.000,,,,,
273,07/14/22 12:00:00  AM,5.154,1.000,,,,,
274,07/14/22 01:00:00  AM,4.844,1.000,,,,,
275,07/14/22 02:00:00  AM,4.558,1.000,,,,,
276,07/14/22 03:00:00  AM,4.194,1.000,,,,,
277,07/14/22 04:00:00  AM,3.775,1.000,,,,,
278,07/14/22 05:00:00  AM,5.257,1.000,,,,,
279,07/14/22 06:00:00  AM,5.437,1.000,,,,,
280,07/14/22 07:00:00  AM,5.872,1.000,,,,,
281,07/14/22 08:00:00  AM,7.920,1.000,,,,,
282,07/14/22 09:00:00  AM,7.569,1.000,,,,,
283,07/14/22 10:00:00  AM,7.920,1.000,,,,,
284,07/14/22 11:00:00  AM,6.839,1.000,,,,,
285,07/14/22 12:00:00  PM,9.262,1.000,,,,,
286,07/14/22 01:00:00  PM,7.544,1.000,,,,,
287,07/14/22 02:00:00  PM,8.916,1.000,,,,,
288,07/14/22 03:00:00  PM,10.590,1.000,,,,,
289,07/14/22 04:00:00  PM,8.070,1.000,,,,,
290,07/14/22 05:00:00  PM,4.947,1.000,,,,,
291,07/14/22 06:00:00  PM,6.306,1.000,,,,,
292,07/14/22 07:00:00  PM,5.308,1.000,,,,,
293,07/14/22 08:00:00  PM,4.636,1.000,,,,,
294,07/14/22 09:00:00  PM,5.719,1.000,,,,,
295,07/14/22 10:00:00  PM,3.906,1.000,,,,,
296,07/14/22 11:00:00  PM,2.664,1.000,,,,,
297,07/15/22 12:00:00  AM,1.913,1.000,,,,,
298,07/15/22 01:00:00  AM,2.450,1.000,,,,,
299,07/15/22 02:00:00  AM,2.262,1.000,,,,,
300,07/15/22 03:00:00  AM,2.182,1.000,,,,,
301,07/15/22 04:00:00  AM,1.994,1.000,,,,,
302,07/15/22 05:00:00  AM,2.557,1.000,,,,,
303,07/15/22 06:00:00  AM,3.380,1.000,,,,,
304,07/15/22 07:00:00  AM,3.854,1.000,,,,,
305,07/15/22 08:00:00  AM,7.544,1.000,,,,,
306,07/15/22 09:00:00  AM,5.565,1.000,,,,,
307,07/15/22 10:00:00  AM,10.320,1.000,,,,,
308,07/15/22 11:00:00  AM,10.858,1.000,,,,,
309,07/15/22 12:00:00  PM,11.175,1.000,,,,,
310,07/15/22 01:00:00  PM,8.941,1.000,,,,,
311,07/15/22 02:00:00  PM,14.122,1.000,,,,,
312,07/15/22 03:00:00  PM,15.294,1.000,,,,,
313,07/15/22 04:00:00  PM,17.415,1.000,,,,,
314,07/15/22 05:00:00  PM,16.320,1.000,,,,,
315,07/15/22 06:00:00  PM,17.867,1.000,,,,,
316,07/15/22 07:00:00  PM,15.915,1.000,,,,,
317,07/15/22 08:00:00  PM,14.409,1.000,,,,,
318,07/15/22 09:00:00  PM,12.847,1.000,,,,,
319,07/15/22 10:00:00  PM,10.565,1.000,,,,,
320,07/15/22 11:00:00  PM,8.543,1.000,,,,,
321,07/16/22 12:00:00  AM,5.437,1.000,,,,,
322,07/16/22 01:00:00  AM,5.411,1.000,,,,,
323,07/16/22 02:00:00  AM,7.116,1.000,,,,,
324,07/16/22 03:00:00  AM,7.569,1.000,,,,,
325,07/16/22 04:00:00  AM,7.192,1.000,,,,,
326,07/16/22 05:00:00  AM,10.467,1.000,,,,,
327,07/16/22 06:00:00  AM,10.810,1.000,,,,,
328,07/16/22 07:00:00  AM,10.271,1.000,,,,,
329,07/16/22 08:00:00  AM,11.419,1.000,,,,,
330,07/16/22 09:00:00  AM,12.509,1.000,,,,,
331,07/16/22 10:00:00  AM,13.497,1.000,,,,,
332,07/16/22 11:00:00  AM,13.137,1.000,,,,,
333,07/16/22 12:00:00  PM,14.266,1.000,,,,,
334,07/16/22 01:00:00  PM,15.485,1.000,,,,,
335,07/16/22 02:00:00  PM,15.294,1.000,,,,,
336,07/16/22 03:00:00  PM,15.031,1.000,,,,,
337,07/16/22 04:00:00  PM,16.249,1.000,,,,,
338,07/16/22 05:00:00  PM,16.701,1.000,,,,,
339,07/16/22 06:00:00  PM,15.748,1.000,,,,,
340,07/16/22 07:00:00  PM,14.505,1.000,,,,,
341,07/16/22 08:00:00  PM,14.673,1.000,,,,,
342,07/16/22 09:00:00  PM,12.268,1.000,,,,,
343,07/16/22 10:00:00  PM,10.149,1.000,,,,,
344,07/16/22 11:00:00  PM,9.558,1.000,,,,,
345,07/17/22 12:00:00  AM,10.638,1.000,,,,,
346,07/17/22 01:00:00  AM,9.583,1.000,,,,,
347,07/17/22 02:00:00  AM,6.306,1.000,,,,,
348,07/17/22 03:00:00  AM,9.903,1.000,,,,,
349,07/17/22 04:00:00  AM,11.394,1.000,,,,,
350,07/17/22 05:00:00  AM,12.340,1.000,,,,,
351,07/17/22 06:00:00  AM,13.161,1.000,,,,,
352,07/17/22 07:00:00  AM,15.127,1.000,,,,,
353,07/17/22 08:00:00  AM,16.082,1.000,,,,,
354,07/17/22 09:00:00  AM,17.272,1.000,,,,,
355,07/17/22 10:00:00  AM,15.175,1.000,,,,,
356,07/17/22 11:00:00  AM,17.130,1.000,,,,,
357,07/17/22 12:00:00  PM,18.580,1.000,,,,,
358,07/17/22 01:00:00  PM,16.392,1.000,,,,,
359,07/17/22 02:00:00  PM,18.913,1.000,,,,,
360,07/17/22 03:00:00  PM,18.604,1.000,,,,,
361,07/17/22 04:00:00  PM,19.294,1.000,,,,,
362,07/17/22 05:00:00  PM,17.843,1.000,,,,,
363,07/17/22 06:00:00  PM,16.106,1.000,,,,,
364,07/17/22 07:00:00  PM,14.337,1.000,,,,,
365,07/17/22 08:00:00  PM,12.509,1.000,,,,,
366,07/17/22 09:00:00  PM,10.736,1.000,,,,,
367,07/17/22 10:00:00  PM,9.064,1.000,,,,,
368,07/17/22 11:00:00  PM,8.295,1.000,,,,,
369,07/18/22 12:00:00  AM,6.813,1.000,,,,,
370,07/18/22 01:00:00  AM,3.406,1.000,,,,,
371,07/18/22 02:00:00  AM,5.565,1.000,,,,,
372,07/18/22 03:00:00  AM,6.408,1.000,,,,,
373,07/18/22 04:00:00  AM,5.872,1.000,,,,,
374,07/18/22 05:00:00  AM,6.763,1.000,,,,,
375,07/18/22 06:00:00  AM,8.170,1.000,,,,,
376,07/18/22 07:00:00  AM,9.312,1.000,,,,,
377,07/18/22 08:00:00  AM,8.742,1.000,,,,,
378,07/18/22 09:00:00  AM,13.305,1.000,,,,,
379,07/18/22 10:00:00  AM,15.031,1.000,,,,,
380,07/18/22 11:00:00  AM,13.161,1.000,,,,,
381,07/18/22 12:00:00  PM,17.177,1.000,,,,,
382,07/18/22 01:00:00  PM,14.385,1.000,,,,,
383,07/18/22 02:00:00  PM,11.807,1.000,,,,,
384,07/18/22 03:00:00  PM,16.606,1.000,,,,,
385,07/18/22 04:00:00  PM,15.676,1.000,,,,,
386,07/18/22 05:00:00  PM,15.533,1.000,,,,,
387,07/18/22 06:00:00  PM,13.112,1.000,,,,,
388,07/18/22 07:00:00  PM,14.026,1.000,,,,,
389,07/18/22 08:00:00  PM,13.978,1.000,,,,,
390,07/18/22 09:00:00  PM,10.956,1.000,,,,,
391,07/18/22 10:00:00  PM,7.167,1.000,,,,,
392,07/18/22 11:00:00  PM,7.795,1.000,,,,,
393,07/19/22 12:00:00  AM,7.670,1.000,,,,,
394,07/19/22 01:00:00  AM,6.914,1.000,,,,,
395,07/19/22 02:00:00  AM,5.924,1.000,,,,,
396,07/19/22 03:00:00  AM,7.343,1.000,,,,,
397,07/19/22 04:00:00  AM,8.519,1.000,,,,,
398,07/19/22 05:00:00  AM,9.213,1.000,,,,,
399,07/19/22 06:00:00  AM,12.195,1.000,,,,,
400,07/19/22 07:00:00  AM,10.001,1.000,,,,,
401,07/19/22 08:00:00  AM,8.469,1.000,,,,,
402,07/19/22 09:00:00  AM,13.714,1.000,,,,,
403,07/19/22 10:00:00  AM,12.920,1.000,,,,,
404,07/19/22 11:00:00  AM,9.509,1.000,,,,,
405,07/19/22 12:00:00  PM,13.016,1.000,,,,,
406,07/19/22 01:00:00  PM,14.290,1.000,,,,,
407,07/19/22 02:00:00  PM,10.051,1.000,,,,,
408,07/19/22 03:00:00  PM,10.907,1.000,,,,,
409,07/19/22 04:00:00  PM,11.005,1.000,,,,,
410,07/19/22 05:00:00  PM,13.185,1.000,,,,,
411,07/19/22 06:00:00  PM,12.243,1.000,,,,,
412,07/19/22 07:00:00  PM,7.066,1.000,,,,,
413,07/19/22 08:00:00  PM,4.844,1.000,,,,,
414,07/19/22 09:00:00  PM,6.763,1.000,,,,,
415,07/19/22 10:00:00  PM,4.921,1.000,,,,,
416,07/19/22 11:00:00  PM,4.246,1.000,,,,,
417,07/20/22 12:00:00  AM,5.308,1.000,,,,,
418,07/20/22 01:00:00  AM,4.921,1.000,,,,,
419,07/20/22 02:00:00  AM,4.246,1.000,,,,,
420,07/20/22 03:00:00  AM,4.688,1.000,,,,,
421,07/20/22 04:00:00  AM,5.514,1.000,,,,,
422,07/20/22 05:00:00  AM,6.357,1.000,,,,,
423,07/20/22 06:00:00  AM,5.642,1.000,,,,,
424,07/20/22 07:00:00  AM,6.535,1.000,,,,,
425,07/20/22 08:00:00  AM,7.091,1.000,,,,,
426,07/20/22 09:00:00  AM,6.560,1.000,,,,,
427,07/20/22 10:00:00  AM,9.410,1.000,,,,,
428,07/20/22 11:00:00  AM,9.213,1.000,,,,,
429,07/20/22 12:00:00  PM,7.895,1.000,,,,,
430,07/20/22 01:00:00  PM,8.717,1.000,,,,,
431,07/20/22 02:00:00  PM,6.585,1.000,,,,,
432,07/20/22 03:00:00  PM,5.949,1.000,,,,,
433,07/20/22 04:00:00  PM,6.712,1.000,,,,,
434,07/20/22 05:00:00  PM,6.306,1.000,,,,,
435,07/20/22 06:00:00  PM,5.565,1.000,,,,,
436,07/20/22 07:00:00  PM,6.306,1.000,,,,,
437,07/20/22 08:00:00  PM,6.000,1.000,,,,,
438,07/20/22 09:00:00  PM,4.973,1.000,,,,,
439,07/20/22 10:00:00  PM,4.766,1.000,,,,,
440,07/20/22 11:00:00  PM,3.722,1.000,,,,,
441,07/21/22 12:00:00  AM,3.221,1.000,,,,,
442,07/21/22 01:00:00  AM,3.301,1.000,,,,,
443,07/21/22 02:00:00  AM,4.063,1.000,,,,,
444,07/21/22 03:00:00  AM,4.220,1.000,,,,,
445,07/21/22 04:00:00  AM,5.231,1.000,,,,,
446,07/21/22 05:00:00  AM,4.895,1.000,,,,,
447,07/21/22 06:00:00  AM,5.668,1.000,,,,,
448,07/21/22 07:00:00  AM,6.077,1.000,,,,,
449,07/21/22 08:00:00  AM,9.287,1.000,,,,,
450,07/21/22 09:00:00  AM,7.343,1.000,,,,,
451,07/21/22 10:00:00  AM,15.652,1.000,,,,,
452,07/21/22 11:00:00  AM,13.858,1.000,,,,,
